"Member.ID","CrossBetweenness","Start.Date","End.Date","Full.Name","RT.Affiliation"
"MEM0047",0,1950-01-01,1950-12-31,"Wanda Falkowska-Szymańska","Expert"
"MEM0068",0,1950-01-01,1950-12-31,"Jerzy Grzywacz","Expert"
"MEM0048",0,1950-01-01,1950-12-31,"Dariusz Fikus","Opposition"
"MEM0140",0,1950-01-01,1950-12-31,"Jan Olszewski","Opposition"
"MEM0156",0,1950-01-01,1950-12-31,"Jerzy Regulski","Opposition"
"MEM0165",0,1950-01-01,1950-12-31,"Henryk Rutkowski","Opposition"
"MEM0168",0,1950-01-01,1950-12-31,"Henryk Samsonowicz","Opposition"
"MEM0188",0,1950-01-01,1950-12-31,"Adam Strzembosz","Opposition"
"MEM0225",0,1950-01-01,1950-12-31,"Janina Zakrzewska","Opposition"
"MEM0230",0,1950-01-01,1950-12-31,"Tadeusz Zieliński","Opposition"
"MEM0008",0,1950-01-01,1950-12-31,"Janusz Beksiak","Opposition"
"MEM0016",0,1950-01-01,1950-12-31,"Włodzimierz Bojarski","Opposition"
"MEM0125",0,1950-01-01,1950-12-31,"Tadeusz Mazowiecki","Opposition"
"MEM0038",0,1950-01-01,1950-12-31,"Wladysław Dobrowolski","Expert"
"MEM0053",23.7142857142857,1950-01-01,1950-12-31,"Bronisław Geremek","Opposition"
"MEM0158",0,1950-01-01,1950-12-31,"Ryszard Reiff","Opposition"
"MEM0019",0,1950-01-01,1950-12-31,"Stefan Bratkowski","Opposition"
"MEM0044",46,1950-01-01,1950-12-31,"Kazimierz Dziewanowski","Opposition"
"MEM0187",0,1950-01-01,1950-12-31,"Stanisław Stomma","Opposition"
"MEM0190",0,1950-01-01,1950-12-31,"Klemens Szaniawski","Opposition"
"MEM0192",0,1950-01-01,1950-12-31,"Jan Józef Szczepański","Opposition"
"MEM0210",0,1950-01-01,1950-12-31,"Zofia Wasikowska","Opposition"
"MEM0214",0,1950-01-01,1950-12-31,"Andrzej Wielowieyski","Opposition"
"MEM0114",0,1950-01-01,1950-12-31,"Jacek Kuroń","Opposition"
"MEM0206",0,1950-01-01,1950-12-31,"Jerzy Turowicz","Opposition"
"MEM0163",0,1950-01-01,1950-12-31,"Jan Rosner","Opposition"
"MEM0073",0,1950-01-01,1950-12-31,"Maciej Tadeusz Iłowiecki","Opposition"
"MEM0521",112.714285714286,1950-01-01,1950-12-31,"Jerzy Bafia","Government"
"MEM0469",0,1950-01-01,1950-12-31,"Jan Baszkiewicz","Government"
"MEM0369",0,1950-01-01,1950-12-31,"Artur Bęben","Government"
"MEM0471",15,1950-01-01,1950-12-31,"Artur Bodnar","Government"
"MEM0505",6.83333333333333,1950-01-01,1950-12-31,"Kazimierz Buchała","Government"
"MEM0451",0,1950-01-01,1950-12-31,"Adam Czarnecki","Government"
"MEM0508",1,1950-01-01,1950-12-31,"Lucjan Czubiński","Government"
"MEM0546",0,1950-01-01,1950-12-31,"Andrzej Dobrzyński","Government"
"MEM0438",0,1950-01-01,1950-12-31,"Karol Gawłowski","Government"
"MEM0334",23.7142857142857,1950-01-01,1950-12-31,"Leszek Gilejko","Government"
"MEM0541",0,1950-01-01,1950-12-31,"Jerzy Janicki","Government"
"MEM0301",0,1950-01-01,1950-12-31,"Jan Kaczmarek","Government"
"MEM0303",0,1950-01-01,1950-12-31,"Józef Kaleta","Government"
"MEM0242",1,1950-01-01,1950-12-31,"Mikołaj Kozakiewicz","Government"
"MEM0554",0,1950-01-01,1950-12-31,"Włodzimierz Łoziński","Government"
"MEM0340",0,1950-01-01,1950-12-31,"Tadeusz Nestorowicz","Government"
"MEM0309",25.6666666666667,1950-01-01,1950-12-31,"Józef Okuniewski","Government"
"MEM0281",0,1950-01-01,1950-12-31,"Włodzimierz Piotrowski","Government"
"MEM0249",0,1950-01-01,1950-12-31,"Anna Przecławska","Government"
"MEM0482",15,1950-01-01,1950-12-31,"Janusz Reykowski","Government"
"MEM0446",0,1950-01-01,1950-12-31,"Kazimierz Siarkewicz","Government"
"MEM0526",128.214285714286,1950-01-01,1950-12-31,"Wojciech Sokolewicz","Government"
"MEM0535",0,1950-01-01,1950-12-31,"Stanisław Stolz","Government"
"MEM0485",77.3809523809524,1950-01-01,1950-12-31,"Jerzy Wiatr","Government"
"MEM0416",0,1950-01-01,1950-12-31,"Marian Wojciechowski","Government"
"MEM0468",9.88095238095238,1950-01-01,1950-12-31,"Andrzej Wojtczak","Government"
"MEM0487",81.7666666666666,1950-01-01,1950-12-31,"Sylwester Zawadzki","Government"
"MEM0258",0,1950-01-01,1950-12-31,"Bronisław Dembowski","Church"
"MEM0567",0,1950-01-01,1950-12-31,"Tomasz Dybowski","Expert"
"MEM0373",0,1950-01-01,1950-12-31,"Gerard Gabryś","Government"
"MEM0510",0,1950-01-01,1950-12-31,"Zenon Jankowski","Government"
"MEM0248",0,1950-01-01,1950-12-31,"Kazimierz Morawski","Government"
"MEM0286",0,1950-01-01,1950-12-31,"Wacław Rukat","Government"
"MEM0254",0,1950-01-01,1950-12-31,"Romuald Sosnowski","Government"
"MEM0255",0,1950-01-01,1950-12-31,"Stanisław Wiśniewski","Government"
"MEM0537",0,1950-01-01,1950-12-31,"Stanisław Zajfert","Government"
"MEM0434",0,1950-01-01,1950-12-31,"Barbara Wolnicka-Szałek","Government"
"MEM0240",0.4,1950-01-01,1950-12-31,"Czesław Kiszczak","Government"
"MEM0313",0,1950-01-01,1950-12-31,"Zdzisław Sadowski","Government"
"MEM0378",15,1950-01-01,1950-12-31,"Wacław Kociela","Government"
"MEM0304",0,1950-01-01,1950-12-31,"Jan Kołodziejczak","Government"
"MEM0417",0,1950-01-01,1950-12-31,"Adam Andrzejewski","Government"
"MEM0477",23.7142857142857,1950-01-01,1950-12-31,"Mariusz Gulczyński","Government"
"MEM0403",0,1950-01-01,1950-12-31,"Czesław Królikowski","Government"
"MEM0291",0,1950-01-01,1950-12-31,"Zbigniew Jagodziński","Government"
"MEM0426",0,1950-01-01,1950-12-31,"Roman Nowicki","Government"
"MEM0247",0,1950-01-01,1950-12-31,"Alfred Miodowicz","Government"
"MEM0251",0,1950-01-01,1950-12-31,"Jan Rychlewski","Government"
"MEM0543",0,1950-01-01,1950-12-31,"Julian Bartosz","Government"
"MEM0525",0,1950-01-01,1950-12-31,"Kazimierz Secomski","Government"
"MEM0560",0,1950-01-01,1950-12-31,"Krzysztof Teodor Toeplitz","Government"
"MEM0570",0,1950-01-01,1950-12-31,"Jan Rogala","Expert"
"MEM0336",0,1950-01-01,1950-12-31,"Władysław Kawecki","Government"
"MEM0236",0,1950-01-01,1950-12-31,"Aleksander Gieysztor","Government"
"MEM0083",0,1950-01-01,1950-12-31,"Stanisław Juchnowicz","Opposition"
"MEM0474",0,1950-01-01,1950-12-31,"Zbigniew Czajkowski","Government"
"MEM0545",0,1950-01-01,1950-12-31,"Jan Brodzki","Government"
"MEM0226",0,1950-01-01,1950-12-31,"Jan Zalewski","Opposition"
"MEM0220",0,1950-01-01,1950-12-31,"Jacek Woźniakowski","Opposition"
"MEM0418",0,1950-01-01,1950-12-31,"Jan Bielak","Government"
"MEM0359",0,1950-01-01,1950-12-31,"Jan Juda","Government"
"MEM0481",0,1950-01-01,1950-12-31,"Kazimierz Orzechowski","Government"
"MEM0518",0,1950-01-01,1950-12-31,"Jerzy świątkiewicz","Government"
