"Member.ID","CrossBetweenness","Start.Date","End.Date","Full.Name","RT.Affiliation"
"MEM0038",0,1945-01-01,1945-01-31,"Wladysław Dobrowolski","Expert"
"MEM0179",0,1945-01-01,1945-01-31,"Adam Stanowski","Opposition"
"MEM0214",4,1945-01-01,1945-01-31,"Andrzej Wielowieyski","Opposition"
"MEM0068",0,1945-01-01,1945-01-31,"Jerzy Grzywacz","Expert"
"MEM0138",0,1945-01-01,1945-01-31,"Róża Nowotna-Walcowa","Opposition"
"MEM0158",0,1945-01-01,1945-01-31,"Ryszard Reiff","Opposition"
"MEM0164",0,1945-01-01,1945-01-31,"Andrzej Rozmarynowicz","Opposition"
"MEM0190",0,1945-01-01,1945-01-31,"Klemens Szaniawski","Opposition"
"MEM0146",0,1945-01-01,1945-01-31,"Edmund Jan Osmańczych","Opposition"
"MEM0229",0,1945-01-01,1945-01-31,"Andrzej Ziabicki","Expert"
"MEM0083",0,1945-01-01,1945-01-31,"Stanisław Juchnowicz","Opposition"
"MEM0336",0,1945-01-01,1945-01-31,"Władysław Kawecki","Government"
"MEM0363",0,1945-01-01,1945-01-31,"Michał Markowicz","Government"
"MEM0312",0,1945-01-01,1945-01-31,"Antoni Rajkiewicz","Government"
"MEM0254",0,1945-01-01,1945-01-31,"Romuald Sosnowski","Government"
"MEM0241",0,1945-01-01,1945-01-31,"Jan Kostrzewski","Government"
"MEM0249",0,1945-01-01,1945-01-31,"Anna Przecławska","Government"
"MEM0252",0,1945-01-01,1945-01-31,"Władysław Siła-Nowicki","Government"
"MEM0403",0,1945-01-01,1945-01-31,"Czesław Królikowski","Government"
"MEM0258",0,1945-01-01,1945-01-31,"Bronisław Dembowski","Church"
"MEM0230",0,1945-01-01,1945-01-31,"Tadeusz Zieliński","Opposition"
"MEM0526",0,1945-01-01,1945-01-31,"Wojciech Sokolewicz","Government"
"MEM0431",0,1945-01-01,1945-01-31,"Mieczysław Serwiński","Government"
"MEM0038",0,1945-02-01,1945-02-28,"Wladysław Dobrowolski","Expert"
"MEM0179",0,1945-02-01,1945-02-28,"Adam Stanowski","Opposition"
"MEM0214",4,1945-02-01,1945-02-28,"Andrzej Wielowieyski","Opposition"
"MEM0068",0,1945-02-01,1945-02-28,"Jerzy Grzywacz","Expert"
"MEM0138",0,1945-02-01,1945-02-28,"Róża Nowotna-Walcowa","Opposition"
"MEM0158",0,1945-02-01,1945-02-28,"Ryszard Reiff","Opposition"
"MEM0164",0,1945-02-01,1945-02-28,"Andrzej Rozmarynowicz","Opposition"
"MEM0190",0,1945-02-01,1945-02-28,"Klemens Szaniawski","Opposition"
"MEM0146",0,1945-02-01,1945-02-28,"Edmund Jan Osmańczych","Opposition"
"MEM0229",0,1945-02-01,1945-02-28,"Andrzej Ziabicki","Expert"
"MEM0083",0,1945-02-01,1945-02-28,"Stanisław Juchnowicz","Opposition"
"MEM0336",0,1945-02-01,1945-02-28,"Władysław Kawecki","Government"
"MEM0363",0,1945-02-01,1945-02-28,"Michał Markowicz","Government"
"MEM0312",0,1945-02-01,1945-02-28,"Antoni Rajkiewicz","Government"
"MEM0241",0,1945-02-01,1945-02-28,"Jan Kostrzewski","Government"
"MEM0249",0,1945-02-01,1945-02-28,"Anna Przecławska","Government"
"MEM0252",0,1945-02-01,1945-02-28,"Władysław Siła-Nowicki","Government"
"MEM0403",0,1945-02-01,1945-02-28,"Czesław Królikowski","Government"
"MEM0254",0,1945-02-01,1945-02-28,"Romuald Sosnowski","Government"
"MEM0230",0,1945-02-01,1945-02-28,"Tadeusz Zieliński","Opposition"
"MEM0526",0,1945-02-01,1945-02-28,"Wojciech Sokolewicz","Government"
"MEM0431",0,1945-02-01,1945-02-28,"Mieczysław Serwiński","Government"
"MEM0038",0,1945-03-01,1945-03-31,"Wladysław Dobrowolski","Expert"
"MEM0179",0,1945-03-01,1945-03-31,"Adam Stanowski","Opposition"
"MEM0214",4,1945-03-01,1945-03-31,"Andrzej Wielowieyski","Opposition"
"MEM0068",0,1945-03-01,1945-03-31,"Jerzy Grzywacz","Expert"
"MEM0138",0,1945-03-01,1945-03-31,"Róża Nowotna-Walcowa","Opposition"
"MEM0158",0,1945-03-01,1945-03-31,"Ryszard Reiff","Opposition"
"MEM0164",0,1945-03-01,1945-03-31,"Andrzej Rozmarynowicz","Opposition"
"MEM0190",0,1945-03-01,1945-03-31,"Klemens Szaniawski","Opposition"
"MEM0146",0,1945-03-01,1945-03-31,"Edmund Jan Osmańczych","Opposition"
"MEM0229",0,1945-03-01,1945-03-31,"Andrzej Ziabicki","Expert"
"MEM0083",0,1945-03-01,1945-03-31,"Stanisław Juchnowicz","Opposition"
"MEM0336",0,1945-03-01,1945-03-31,"Władysław Kawecki","Government"
"MEM0363",0,1945-03-01,1945-03-31,"Michał Markowicz","Government"
"MEM0312",0,1945-03-01,1945-03-31,"Antoni Rajkiewicz","Government"
"MEM0241",0,1945-03-01,1945-03-31,"Jan Kostrzewski","Government"
"MEM0249",0,1945-03-01,1945-03-31,"Anna Przecławska","Government"
"MEM0252",0,1945-03-01,1945-03-31,"Władysław Siła-Nowicki","Government"
"MEM0403",0,1945-03-01,1945-03-31,"Czesław Królikowski","Government"
"MEM0254",0,1945-03-01,1945-03-31,"Romuald Sosnowski","Government"
"MEM0230",0,1945-03-01,1945-03-31,"Tadeusz Zieliński","Opposition"
"MEM0526",0,1945-03-01,1945-03-31,"Wojciech Sokolewicz","Government"
"MEM0431",0,1945-03-01,1945-03-31,"Mieczysław Serwiński","Government"
"MEM0038",0,1945-04-01,1945-04-30,"Wladysław Dobrowolski","Expert"
"MEM0179",0,1945-04-01,1945-04-30,"Adam Stanowski","Opposition"
"MEM0214",4,1945-04-01,1945-04-30,"Andrzej Wielowieyski","Opposition"
"MEM0068",0,1945-04-01,1945-04-30,"Jerzy Grzywacz","Expert"
"MEM0138",0,1945-04-01,1945-04-30,"Róża Nowotna-Walcowa","Opposition"
"MEM0158",0,1945-04-01,1945-04-30,"Ryszard Reiff","Opposition"
"MEM0164",0,1945-04-01,1945-04-30,"Andrzej Rozmarynowicz","Opposition"
"MEM0190",0,1945-04-01,1945-04-30,"Klemens Szaniawski","Opposition"
"MEM0146",0,1945-04-01,1945-04-30,"Edmund Jan Osmańczych","Opposition"
"MEM0229",0,1945-04-01,1945-04-30,"Andrzej Ziabicki","Expert"
"MEM0083",0,1945-04-01,1945-04-30,"Stanisław Juchnowicz","Opposition"
"MEM0336",0,1945-04-01,1945-04-30,"Władysław Kawecki","Government"
"MEM0363",0,1945-04-01,1945-04-30,"Michał Markowicz","Government"
"MEM0312",0,1945-04-01,1945-04-30,"Antoni Rajkiewicz","Government"
"MEM0241",0,1945-04-01,1945-04-30,"Jan Kostrzewski","Government"
"MEM0249",0,1945-04-01,1945-04-30,"Anna Przecławska","Government"
"MEM0252",0,1945-04-01,1945-04-30,"Władysław Siła-Nowicki","Government"
"MEM0403",0,1945-04-01,1945-04-30,"Czesław Królikowski","Government"
"MEM0254",0,1945-04-01,1945-04-30,"Romuald Sosnowski","Government"
"MEM0230",0,1945-04-01,1945-04-30,"Tadeusz Zieliński","Opposition"
"MEM0526",0,1945-04-01,1945-04-30,"Wojciech Sokolewicz","Government"
"MEM0431",0,1945-04-01,1945-04-30,"Mieczysław Serwiński","Government"
"MEM0038",0,1945-05-01,1945-05-31,"Wladysław Dobrowolski","Expert"
"MEM0179",0,1945-05-01,1945-05-31,"Adam Stanowski","Opposition"
"MEM0214",36,1945-05-01,1945-05-31,"Andrzej Wielowieyski","Opposition"
"MEM0068",0,1945-05-01,1945-05-31,"Jerzy Grzywacz","Expert"
"MEM0138",0,1945-05-01,1945-05-31,"Róża Nowotna-Walcowa","Opposition"
"MEM0158",0,1945-05-01,1945-05-31,"Ryszard Reiff","Opposition"
"MEM0164",0,1945-05-01,1945-05-31,"Andrzej Rozmarynowicz","Opposition"
"MEM0190",0,1945-05-01,1945-05-31,"Klemens Szaniawski","Opposition"
"MEM0146",0,1945-05-01,1945-05-31,"Edmund Jan Osmańczych","Opposition"
"MEM0229",0,1945-05-01,1945-05-31,"Andrzej Ziabicki","Expert"
"MEM0083",0,1945-05-01,1945-05-31,"Stanisław Juchnowicz","Opposition"
"MEM0336",0,1945-05-01,1945-05-31,"Władysław Kawecki","Government"
"MEM0363",0,1945-05-01,1945-05-31,"Michał Markowicz","Government"
"MEM0312",0,1945-05-01,1945-05-31,"Antoni Rajkiewicz","Government"
"MEM0241",0,1945-05-01,1945-05-31,"Jan Kostrzewski","Government"
"MEM0249",0,1945-05-01,1945-05-31,"Anna Przecławska","Government"
"MEM0252",0,1945-05-01,1945-05-31,"Władysław Siła-Nowicki","Government"
"MEM0403",0,1945-05-01,1945-05-31,"Czesław Królikowski","Government"
"MEM0254",0,1945-05-01,1945-05-31,"Romuald Sosnowski","Government"
"MEM0230",0,1945-05-01,1945-05-31,"Tadeusz Zieliński","Opposition"
"MEM0526",18,1945-05-01,1945-05-31,"Wojciech Sokolewicz","Government"
"MEM0431",0,1945-05-01,1945-05-31,"Mieczysław Serwiński","Government"
"MEM0038",0,1945-06-01,1945-06-30,"Wladysław Dobrowolski","Expert"
"MEM0179",0,1945-06-01,1945-06-30,"Adam Stanowski","Opposition"
"MEM0214",5,1945-06-01,1945-06-30,"Andrzej Wielowieyski","Opposition"
"MEM0068",0,1945-06-01,1945-06-30,"Jerzy Grzywacz","Expert"
"MEM0158",0,1945-06-01,1945-06-30,"Ryszard Reiff","Opposition"
"MEM0190",0,1945-06-01,1945-06-30,"Klemens Szaniawski","Opposition"
"MEM0138",0,1945-06-01,1945-06-30,"Róża Nowotna-Walcowa","Opposition"
"MEM0146",0,1945-06-01,1945-06-30,"Edmund Jan Osmańczych","Opposition"
"MEM0229",0,1945-06-01,1945-06-30,"Andrzej Ziabicki","Expert"
"MEM0336",0,1945-06-01,1945-06-30,"Władysław Kawecki","Government"
"MEM0240",0,1945-06-01,1945-06-30,"Czesław Kiszczak","Government"
"MEM0363",0,1945-06-01,1945-06-30,"Michał Markowicz","Government"
"MEM0312",2,1945-06-01,1945-06-30,"Antoni Rajkiewicz","Government"
"MEM0252",0,1945-06-01,1945-06-30,"Władysław Siła-Nowicki","Government"
"MEM0403",0,1945-06-01,1945-06-30,"Czesław Królikowski","Government"
"MEM0254",0,1945-06-01,1945-06-30,"Romuald Sosnowski","Government"
"MEM0230",0,1945-06-01,1945-06-30,"Tadeusz Zieliński","Opposition"
"MEM0526",4,1945-06-01,1945-06-30,"Wojciech Sokolewicz","Government"
"MEM0241",0,1945-06-01,1945-06-30,"Jan Kostrzewski","Government"
"MEM0431",0,1945-06-01,1945-06-30,"Mieczysław Serwiński","Government"
"MEM0038",0,1945-07-01,1945-07-31,"Wladysław Dobrowolski","Expert"
"MEM0179",0,1945-07-01,1945-07-31,"Adam Stanowski","Opposition"
"MEM0214",6,1945-07-01,1945-07-31,"Andrzej Wielowieyski","Opposition"
"MEM0068",0,1945-07-01,1945-07-31,"Jerzy Grzywacz","Expert"
"MEM0158",0,1945-07-01,1945-07-31,"Ryszard Reiff","Opposition"
"MEM0190",0,1945-07-01,1945-07-31,"Klemens Szaniawski","Opposition"
"MEM0146",0,1945-07-01,1945-07-31,"Edmund Jan Osmańczych","Opposition"
"MEM0229",0,1945-07-01,1945-07-31,"Andrzej Ziabicki","Expert"
"MEM0336",0,1945-07-01,1945-07-31,"Władysław Kawecki","Government"
"MEM0240",0,1945-07-01,1945-07-31,"Czesław Kiszczak","Government"
"MEM0363",0,1945-07-01,1945-07-31,"Michał Markowicz","Government"
