"Member.ID","Cross.Betweenness.Norm","Start.Date","End.Date"
"MEM0038",0.148898071625344,1945-01-01,1945-12-31
"MEM0135",0,1945-01-01,1945-12-31
"MEM0156",0,1945-01-01,1945-12-31
"MEM0179",0,1945-01-01,1945-12-31
"MEM0190",0.303674242424243,1945-01-01,1945-12-31
"MEM0214",0.889962121212121,1945-01-01,1945-12-31
"MEM0215",0,1945-01-01,1945-12-31
"MEM0220",0,1945-01-01,1945-12-31
"MEM0230",0,1945-01-01,1945-12-31
"MEM0231",0,1945-01-01,1945-12-31
"MEM0068",0,1945-01-01,1945-12-31
"MEM0049",0,1945-01-01,1945-12-31
"MEM0083",0,1945-01-01,1945-12-31
"MEM0138",0.316477272727273,1945-01-01,1945-12-31
"MEM0158",0,1945-01-01,1945-12-31
"MEM0164",0.302651515151515,1945-01-01,1945-12-31
"MEM0192",0,1945-01-01,1945-12-31
"MEM0210",0,1945-01-01,1945-12-31
"MEM0146",0,1945-01-01,1945-12-31
"MEM0187",0,1945-01-01,1945-12-31
"MEM0229",0,1945-01-01,1945-12-31
"MEM0357",0,1945-01-01,1945-12-31
"MEM0336",0,1945-01-01,1945-12-31
"MEM0240",0,1945-01-01,1945-12-31
"MEM0242",0,1945-01-01,1945-12-31
"MEM0363",0,1945-01-01,1945-12-31
"MEM0312",0.237992424242424,1945-01-01,1945-12-31
"MEM0254",0.18,1945-01-01,1945-12-31
"MEM0416",0,1945-01-01,1945-12-31
"MEM0236",0,1945-01-01,1945-12-31
"MEM0241",0.316477272727273,1945-01-01,1945-12-31
"MEM0249",0,1945-01-01,1945-12-31
"MEM0252",0,1945-01-01,1945-12-31
"MEM0403",0,1945-01-01,1945-12-31
"MEM0505",0,1945-01-01,1945-12-31
"MEM0258",0,1945-01-01,1945-12-31
"MEM0541",0,1945-01-01,1945-12-31
"MEM0525",0,1945-01-01,1945-12-31
"MEM0431",0,1945-01-01,1945-12-31
"MEM0567",0,1945-01-01,1945-12-31
"MEM0526",0.0279166666666667,1945-01-01,1945-12-31
"MEM0307",0,1945-01-01,1945-12-31
"MEM0570",0,1945-01-01,1945-12-31
"MEM0565",0,1945-01-01,1945-12-31
"MEM0167",0,1946-01-01,1946-12-31
"MEM0125",0,1946-01-01,1946-12-31
"MEM0135",0.161387631975867,1946-01-01,1946-12-31
"MEM0156",0,1946-01-01,1946-12-31
"MEM0168",0,1946-01-01,1946-12-31
"MEM0190",0,1946-01-01,1946-12-31
"MEM0214",0.325037707390648,1946-01-01,1946-12-31
"MEM0215",0,1946-01-01,1946-12-31
"MEM0220",0,1946-01-01,1946-12-31
"MEM0225",0,1946-01-01,1946-12-31
"MEM0230",0,1946-01-01,1946-12-31
"MEM0231",0,1946-01-01,1946-12-31
"MEM0038",0,1946-01-01,1946-12-31
"MEM0068",0,1946-01-01,1946-12-31
"MEM0049",0,1946-01-01,1946-12-31
"MEM0138",0,1946-01-01,1946-12-31
"MEM0164",0,1946-01-01,1946-12-31
"MEM0192",0,1946-01-01,1946-12-31
"MEM0210",0,1946-01-01,1946-12-31
"MEM0187",0.145028425571412,1946-01-01,1946-12-31
